shift_tipe;nik;kdregu;kodejamkerja;inputdate;inputby;updatedate;updateby;id;tgl
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;263;2017-07-04
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;264;2017-07-05
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;265;2017-07-06
;;NS          ;NSB                      ;2017-04-22 00:00:00;1015.179       ;;;266;2017-07-07
;;NS          ;NSC                      ;2017-04-22 00:00:00;1015.179       ;;;267;2017-07-08
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;268;2017-07-10
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;269;2017-07-11
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;270;2017-07-12
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;271;2017-07-13
;;NS          ;NSB                      ;2017-04-22 00:00:00;1015.179       ;;;272;2017-07-14
;;NS          ;NSC                      ;2017-04-22 00:00:00;1015.179       ;;;273;2017-07-15
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;274;2017-07-17
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;275;2017-07-18
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;276;2017-07-19
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;277;2017-07-20
;;NS          ;NSB                      ;2017-04-22 00:00:00;1015.179       ;;;278;2017-07-21
;;NS          ;NSC                      ;2017-04-22 00:00:00;1015.179       ;;;279;2017-07-22
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;280;2017-07-24
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;281;2017-07-25
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;282;2017-07-26
;;NS          ;NSA                      ;2017-04-22 00:00:00;1015.179       ;;;283;2017-07-27
;;NS          ;NSB                      ;2017-04-22 00:00:00;1015.179       ;;;284;2017-07-28
;;NS          ;NSC                      ;2017-04-22 00:00:00;1015.179       ;;;285;2017-07-29
